lon,lat
127.0422078,37.461241
127.0420090111111,37.46145333333333
127.04181022222222,37.46166566666667
127.04161143333333,37.461878
127.04141264444445,37.462090333333336
127.04121385555555,37.462302666666666
127.04101506666667,37.462515
127.04081627777778,37.46272733333333
127.0406174888889,37.46293966666667
127.0404187,37.463152
127.0404187,37.463152
127.0403324888889,37.463240722222224
127.04024627777778,37.46332944444445
127.04016006666667,37.46341816666667
127.04007385555556,37.463506888888894
127.03998764444444,37.46359561111111
127.03990143333333,37.46368433333333
127.03981522222222,37.463773055555556
127.0397290111111,37.46386177777778
127.0396428,37.4639505
127.0401891,37.4630346
127.04068426666667,37.46250958888889
127.04117943333334,37.46198457777778
127.04167460000001,37.46145956666667
127.04216976666667,37.46093455555555
127.04266493333333,37.460409544444445
127.0431601,37.45988453333333
127.04365526666666,37.45935952222222
127.04415043333333,37.45883451111111
127.0446456,37.4583095
127.0424448,37.4609792
127.04241846666666,37.461008288888884
127.04239213333334,37.46103737777778
127.0423658,37.461066466666665
127.04233946666666,37.46109555555555
127.04231313333334,37.461124644444446
127.0422868,37.46115373333333
127.04226046666666,37.46118282222222
127.04223413333334,37.461211911111114
127.0422078,37.461241
127.0394358,37.4638405
127.03951950000001,37.46375095555556
127.0396032,37.46366141111111
127.0396869,37.46357186666667
127.03977060000001,37.46348232222223
127.0398543,37.46339277777778
127.039938,37.463303233333335
127.04002170000001,37.46321368888889
127.0401054,37.46312414444444
127.0401891,37.4630346
127.0506717,37.4521683
127.04975759999999,37.453147288888886
127.04884349999999,37.454126277777775
127.0479294,37.45510526666666
127.0470153,37.45608425555555
127.0461012,37.45706324444444
127.04518709999999,37.45804223333333
127.044273,37.45902122222222
127.0433589,37.46000021111111
127.0424448,37.4609792
